,precision,recall,f1-score,support
airplane,0.8262108262108262,0.87,0.847540185094983,1000.0
automobile,0.8943798449612403,0.923,0.9084645669291339,1000.0
bird,0.7893544733861835,0.697,0.740308019118428,1000.0
cat,0.6554347826086957,0.603,0.628125,1000.0
deer,0.8111227701993704,0.773,0.7916026625704045,1000.0
dog,0.6705776173285198,0.743,0.7049335863377609,1000.0
frog,0.8163636363636364,0.898,0.8552380952380952,1000.0
horse,0.8358061325420376,0.845,0.8403779214321233,1000.0
ship,0.9311827956989247,0.866,0.8974093264248705,1000.0
truck,0.8653465346534653,0.874,0.8696517412935323,1000.0
accuracy,0.8092,0.8092,0.8092,0.8092
macro avg,0.80957794139529,0.8092,0.8083651104439331,10000.0
weighted avg,0.8095779413952899,0.8092,0.8083651104439332,10000.0
