,precision,recall,f1-score,support
airplane,0.8232468780019212,0.857,0.8397844194022538,1000.0
automobile,0.8885658914728682,0.917,0.9025590551181102,1000.0
bird,0.7917121046892039,0.726,0.7574334898278561,1000.0
cat,0.6587064676616915,0.662,0.6603491271820449,1000.0
deer,0.7701804368471035,0.811,0.7900633219678519,1000.0
dog,0.7380710659898477,0.727,0.7324937027707809,1000.0
frog,0.8579881656804734,0.87,0.8639523336643495,1000.0
horse,0.8504016064257028,0.847,0.8486973947895792,1000.0
ship,0.9287234042553192,0.873,0.9,1000.0
truck,0.855457227138643,0.87,0.8626673277144273,1000.0
accuracy,0.816,0.816,0.816,0.816
macro avg,0.8163053248162775,0.8160000000000001,0.8158000172437255,10000.0
weighted avg,0.8163053248162775,0.816,0.8158000172437254,10000.0
