,precision,recall,f1-score,support
airplane,0.6784313725490196,0.692,0.6851485148514852,1000.0
automobile,0.7274490785645005,0.75,0.7385524372230429,1000.0
bird,0.5287009063444109,0.525,0.5268439538384345,1000.0
cat,0.46113989637305697,0.445,0.4529262086513995,1000.0
deer,0.5604801477377654,0.607,0.5828132501200192,1000.0
dog,0.5694117647058824,0.484,0.5232432432432432,1000.0
frog,0.6927480916030534,0.726,0.708984375,1000.0
horse,0.668,0.668,0.668,1000.0
ship,0.720972097209721,0.801,0.758882046423496,1000.0
truck,0.71412680756396,0.642,0.6761453396524486,1000.0
accuracy,0.634,0.634,0.634,0.634
macro avg,0.6321460162651371,0.6340000000000001,0.6321539369003568,10000.0
weighted avg,0.632146016265137,0.634,0.6321539369003569,10000.0
