,precision,recall,f1-score,support
airplane,0.6708860759493671,0.689,0.6798223976319684,1000.0
automobile,0.7157996146435452,0.743,0.7291462217860648,1000.0
bird,0.5387713997985901,0.535,0.5368790767686904,1000.0
cat,0.4533582089552239,0.486,0.4691119691119691,1000.0
deer,0.5455399061032864,0.581,0.5627118644067797,1000.0
dog,0.5434530706836617,0.469,0.5034889962426194,1000.0
frog,0.7245632065775951,0.705,0.7146477445514445,1000.0
horse,0.6680080482897385,0.664,0.6659979939819458,1000.0
ship,0.7315891472868217,0.755,0.7431102362204725,1000.0
truck,0.7126193001060446,0.672,0.6917138445702522,1000.0
accuracy,0.6299,0.6299,0.6299,0.6299
macro avg,0.6304587978393874,0.6298999999999999,0.6296630345272206,10000.0
weighted avg,0.6304587978393874,0.6299,0.6296630345272207,10000.0
