epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,1.8682075947231715,2.30292589263916,29.871111111111112,10.46
2,1.6131495754877727,1.9838914951324462,40.21333333333333,35.12
3,1.5102476804945204,1.614016780090332,44.266666666666666,43.92
4,1.43736294631958,1.5451282173156737,47.49111111111111,47.04
5,1.3824795305887858,1.4528014442443848,49.76888888888889,49.28
6,1.3285364628050063,1.4071763933181762,52.16,52.28
7,1.2840348792817857,1.2995820495605468,53.61555555555555,55.04
8,1.249535582669576,1.306920503616333,55.406666666666666,54.8
9,1.222222460852729,1.2622534206390381,56.30444444444444,55.98
10,1.1942234553866917,1.2079928224563599,57.495555555555555,56.68
11,1.1266441931830513,1.1045690273284912,59.684444444444445,61.62
12,1.0987201809777154,1.0999597045898437,60.67333333333333,60.28
13,1.0967121109220717,1.0811992748260497,60.702222222222225,61.24
14,1.0918616972817314,1.0685956037521362,61.01555555555556,61.54
15,1.0840052386601766,1.0861095893859862,61.17111111111111,60.54
