,precision,recall,f1-score,support
airplane,0.8623326959847036,0.902,0.8817204301075269,1000.0
automobile,0.9357072205736894,0.946,0.9408254599701641,1000.0
bird,0.8451882845188284,0.808,0.8261758691206544,1000.0
cat,0.7768969422423556,0.686,0.7286245353159851,1000.0
deer,0.8494516450648056,0.852,0.8507239141288068,1000.0
dog,0.78702807357212,0.813,0.7998032464338416,1000.0
frog,0.8838771593090211,0.921,0.9020568070519099,1000.0
horse,0.9041916167664671,0.906,0.9050949050949051,1000.0
ship,0.918467583497053,0.935,0.9266600594648167,1000.0
truck,0.9214711729622267,0.927,0.9242273180458624,1000.0
accuracy,0.8696,0.8696,0.8696,0.8696
macro avg,0.8684612394491271,0.8695999999999999,0.8685912544734473,10000.0
weighted avg,0.868461239449127,0.8696,0.8685912544734474,10000.0
