,precision,recall,f1-score,support
airplane,0.8608094768015795,0.872,0.8663686040735221,1000.0
automobile,0.9411167512690355,0.927,0.9340050377833753,1000.0
bird,0.8280590717299579,0.785,0.8059548254620124,1000.0
cat,0.7434827945776851,0.713,0.7279224093925473,1000.0
deer,0.837029893924783,0.868,0.852233676975945,1000.0
dog,0.797979797979798,0.79,0.7939698492462312,1000.0
frog,0.8724637681159421,0.903,0.8874692874692874,1000.0
horse,0.9044715447154471,0.89,0.8971774193548387,1000.0
ship,0.913946587537092,0.924,0.9189457981103928,1000.0
truck,0.9017341040462428,0.936,0.9185475956820413,1000.0
accuracy,0.8608,0.8608,0.8608,0.8608
macro avg,0.8601093790697563,0.8608,0.8602594503550194,10000.0
weighted avg,0.8601093790697564,0.8608,0.8602594503550194,10000.0
