epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,1.2418561695310804,0.9767040275573731,54.83777777777778,65.64
2,0.8741912022696601,0.785068632698059,69.22444444444444,72.92
3,0.7547422315703498,0.7097914841651917,73.60444444444444,74.08
4,0.6826867903073629,0.6126468189239502,75.96666666666667,78.98
5,0.6333294829580519,0.6463674365997314,77.76222222222222,77.68
6,0.5952001787927416,0.5988366827487945,79.04222222222222,79.1
7,0.5610256526205275,0.6046406724929809,80.50444444444445,80.08
8,0.5317044983545939,0.5361954891204834,81.61111111111111,81.58
9,0.5077373678101433,0.5043230279445649,82.47777777777777,83.16
10,0.48727858673731483,0.5078369655609131,83.08444444444444,82.74
11,0.3551805563820733,0.4119796569824219,88.00222222222222,86.18
12,0.31781830134391786,0.39426724491119386,89.34,86.82
13,0.29702464078267415,0.3984125418663025,89.97555555555556,86.92
14,0.2823544924789005,0.3994595890760422,90.41777777777777,86.96
15,0.2724446990807851,0.3864822806596756,90.67777777777778,87.22
