,precision,recall,f1-score,support
airplane,0.8265503875968992,0.853,0.8395669291338582,1000.0
automobile,0.9360341151385928,0.878,0.9060887512899897,1000.0
bird,0.7761806981519507,0.756,0.7659574468085106,1000.0
cat,0.6787878787878788,0.672,0.6753768844221105,1000.0
deer,0.7957532861476239,0.787,0.7913524384112619,1000.0
dog,0.7325819672131147,0.715,0.7236842105263158,1000.0
frog,0.8626865671641791,0.867,0.8648379052369077,1000.0
horse,0.8504486540378864,0.853,0.8517224163754369,1000.0
ship,0.8721590909090909,0.921,0.8959143968871596,1000.0
truck,0.8524590163934426,0.884,0.8679430535100638,1000.0
accuracy,0.8186,0.8186,0.8186,0.8186
macro avg,0.8183641661540658,0.8186,0.8182444432601615,10000.0
weighted avg,0.8183641661540659,0.8186,0.8182444432601614,10000.0
