,precision,recall,f1-score,support
airplane,0.8128654970760234,0.834,0.8232971372161896,1000.0
automobile,0.8727272727272727,0.864,0.8683417085427135,1000.0
bird,0.7288481141692151,0.715,0.7218576476527007,1000.0
cat,0.5914396887159533,0.608,0.5996055226824457,1000.0
deer,0.7950907150480256,0.745,0.7692307692307693,1000.0
dog,0.6469483568075117,0.689,0.6673123486682808,1000.0
frog,0.8228346456692913,0.836,0.8293650793650794,1000.0
horse,0.8383419689119171,0.809,0.823409669211196,1000.0
ship,0.8888888888888888,0.856,0.8721344880285278,1000.0
truck,0.8318756073858115,0.856,0.8437654016757024,1000.0
accuracy,0.7812,0.7812,0.7812,0.7812
macro avg,0.782986075539991,0.7811999999999999,0.7818319772273605,10000.0
weighted avg,0.782986075539991,0.7812,0.7818319772273605,10000.0
