epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,1.6470692003250123,1.4815506288528442,40.14888888888889,45.78
2,1.2739381240844727,1.2366566398620606,54.49777777777778,55.66
3,1.099482371351454,1.0521145576477051,61.144444444444446,63.14
4,0.978326497915056,0.9627649809837341,65.52,66.28
5,0.8936367662217882,0.9085920581817627,69.03111111111112,68.72
6,0.8243473131179809,0.9856959074020386,71.27333333333333,66.52
7,0.7780437872356839,0.778924462890625,73.10222222222222,73.08
8,0.727124617905087,0.8385298488616943,74.72444444444444,71.4
9,0.7052107778125339,0.7496254560947418,75.64,74.62
10,0.6735392666922675,0.7544628490447998,76.82,74.8
11,0.5465898896535237,0.5679794063568115,80.93777777777778,80.08
12,0.5034861345026228,0.5570014171600342,82.66,80.94
13,0.488376345094045,0.5573337800741196,83.05111111111111,80.64
14,0.47355617417229545,0.5341725747108459,83.44,81.52
15,0.45942001351250544,0.5445326292991638,83.95555555555555,81.0
