epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,1.4985186737060547,1.2928474603652955,46.12888888888889,53.84
2,1.073636536916097,1.1212277145385743,62.18666666666667,61.54
3,0.87940846391254,0.9217044366836548,69.09333333333333,67.82
4,0.7380931347846985,0.7831890634536743,74.25111111111111,73.12
5,0.6290994427575005,0.7727476329803467,78.13555555555556,73.58
6,0.540951839182112,0.7268015893936157,81.05777777777777,75.18
7,0.4549907363149855,0.7502696529388427,84.17777777777778,75.38
8,0.37648435399797225,0.817052518081665,86.97111111111111,75.74
9,0.3135513412051731,0.7295382246017456,89.06,76.76
10,0.2599013780699836,0.8158729761123658,90.86,75.54
11,0.09589648361735874,0.8031119676589966,97.01555555555555,78.82
12,0.03546202130450143,0.9125142749786377,99.03777777777778,78.76
13,0.01704035925923122,1.0745676303863525,99.58444444444444,79.06
14,0.00919100056025717,1.195756331729889,99.78,78.86
15,0.007592907188460231,1.2803963930130005,99.78,78.76
